nct_id,title,cancer_type,sponsor,phase,status,enrollment,start_date,completion_date,duration_months,blinding,allocation,intervention_model,number_of_sites,regions,dropout_rate_percent,sae_per_100_patients,primary_endpoint_met,start_year,completion_year,enrollment_category,complexity_score,region_count,enrollment_per_site,enrollment_rate,expected_duration,completed_on_time,trial_success,estimated_cost_millions,cost_per_patient_thousands
NCT2018000000,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Mayo Clinic,Phase 3,Completed,474,2019-04-08,2022-12-18,45,Open Label,Randomized,Single Group Assignment,27,South America,17.3,25.6,True,2019,2022,Large (300-500),2,1,17.6,10.53,48.0,True,True,62.17,131.2
NCT2018000001,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,AbbVie,Phase 1,Completed,32,2015-09-07,2016-10-31,14,Double Blind,Non-Randomized,Parallel Assignment,2,"North America, Europe",11.4,1.1,True,2015,2016,Small (30-100),4,2,16.0,2.29,18.0,True,True,1.5,46.9
NCT2018000002,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Merck,Phase 2,Completed,59,2020-02-03,2022-10-20,33,Single Blind,Randomized,Parallel Assignment,6,"South America, North America, Europe",14.6,8.8,True,2020,2022,Small (30-100),6,3,9.8,1.79,29.0,False,False,10.08,170.8
NCT2018000003,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,National Cancer Institute,Phase 2,Completed,43,2020-10-07,2023-04-25,31,Double Blind,Randomized,Parallel Assignment,2,"Europe, North America, Australia, Asia, South America",15.1,6.6,True,2020,2023,Small (30-100),7,5,21.5,1.39,29.0,False,False,3.23,75.1
NCT2018000004,A Study of Novel Therapy in Patients With Leukemia,Leukemia,AstraZeneca,Phase 2,Completed,99,2018-11-09,2020-06-01,19,Double Blind,Non-Randomized,Parallel Assignment,4,"Europe, Australia",38.4,2.4,True,2018,2020,Small (30-100),4,2,24.8,5.21,29.0,True,True,4.1,41.4
NCT2018000005,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Mayo Clinic,Phase 2,Completed,107,2018-11-11,2021-06-28,32,Triple Blind,Non-Randomized,Parallel Assignment,2,"South America, Asia, North America",29.6,6.5,True,2018,2021,Medium (100-300),6,3,53.5,3.34,29.0,False,False,3.52,32.9
NCT2018000006,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,AstraZeneca,Phase 4,Completed,163,2018-11-16,2022-10-26,48,Single Blind,Single Group,Parallel Assignment,6,Australia,36.5,4.7,True,2018,2022,Medium (100-300),2,1,27.2,3.4,34.0,False,False,14.89,91.3
NCT2018000007,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,National Cancer Institute,Phase 3,Completed,491,2021-06-08,2026-01-13,56,Quadruple Blind,Randomized,Parallel Assignment,11,"Europe, Australia, Asia, South America",35.7,7.1,False,2021,2026,Large (300-500),9,4,44.6,8.77,48.0,False,False,32.27,65.7
NCT2018000008,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Sanofi,Phase 2,Completed,80,2019-09-28,2022-01-15,28,Quadruple Blind,Non-Randomized,Parallel Assignment,10,"Asia, North America, Europe",11.2,7.9,True,2019,2022,Small (30-100),7,3,8.0,2.86,29.0,True,True,14.24,178.0
NCT2018000009,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Mayo Clinic,Phase 2,Completed,140,2019-09-25,2022-12-08,39,Open Label,Single Group,Sequential Assignment,6,"Australia, Europe, North America",27.8,23.1,True,2019,2022,Medium (100-300),4,3,23.3,3.59,29.0,False,False,12.12,86.6
