trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met,enrollment_rate,patients_per_site,enrollment_achievement_pct,is_multi_site,is_multi_region,size_category,duration_category,overall_success,enrollment_success_level
TRIAL-0001,Phase 2,Breast Cancer,Clinical Research Group A,Open Label,2019,2022,26,114,105,3,1,True,False,4.04,35.0,92.1,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0002,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2019,2024,57,376,314,5,1,False,True,5.51,62.8,83.5,True,False,large (150-400),long(36mo+),False,Near Target
TRIAL-0003,Phase 1,Lymphoma,Global BioResearch,Open Label,2018,2019,19,25,24,2,1,True,True,1.26,12.0,96.0,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0004,Phase 2,Prostate Cancer,MedTrials International,Single Blind,2021,2023,23,42,41,2,1,True,False,1.78,20.5,97.6,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0005,Phase 2,Breast Cancer,Clinical Research Group A,Single Blind,2021,2023,28,72,59,2,1,False,True,2.11,29.5,81.9,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0006,Phase 2,Leukemia,Helix Therapeutics,Open Label,2018,2021,28,57,55,2,1,True,False,1.96,27.5,96.5,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0007,Phase 4,Prostate Cancer,MedTrials International,Open Label,2020,2023,35,163,154,13,2,True,True,4.4,11.8,94.5,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0008,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2021,2024,33,294,280,12,1,True,False,8.48,23.3,95.2,True,False,large (150-400),medium(18-36mo),False,Met Target
TRIAL-0009,Phase 1,Leukemia,MedTrials International,Open Label,2019,2020,21,16,14,1,1,False,True,0.67,14.0,87.5,False,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0010,Phase 2,Prostate Cancer,Helix Therapeutics,Double Blind,2021,2023,25,105,102,4,1,True,True,4.08,25.5,97.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0011,Phase 2,Prostate Cancer,Clinical Research Group A,Double Blind,2021,2024,30,86,81,4,2,True,True,2.7,20.2,94.2,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0012,Phase 4,Colorectal Cancer,Helix Therapeutics,Single Blind,2018,2021,42,176,149,8,1,False,True,3.55,18.6,84.7,True,False,medium (50-150),long(36mo+),False,Near Target
TRIAL-0013,Phase 3,Lung Cancer,NovaCure Biotech,Double Blind,2022,2025,37,503,500,44,2,True,False,13.51,11.4,99.4,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0014,Phase 3,Melanoma,MedTrials International,Double Blind,2019,2024,59,369,367,8,1,True,False,6.22,45.9,99.5,True,False,large (150-400),long(36mo+),False,Met Target
TRIAL-0015,Phase 3,Melanoma,Helix Therapeutics,Triple Blind,2020,2024,47,289,256,8,2,False,False,5.45,32.0,88.6,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0016,Phase 1,Colorectal Cancer,Helix Therapeutics,Single Blind,2018,2019,14,40,37,3,1,True,True,2.64,12.3,92.5,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0017,Phase 1,Leukemia,MedTrials International,Single Blind,2018,2019,18,29,28,1,1,True,False,1.56,28.0,96.6,False,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0018,Phase 1,Pancreatic Cancer,MedTrials International,Open Label,2019,2019,8,27,26,3,1,True,True,3.25,8.7,96.3,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0019,Phase 2,Melanoma,Helix Therapeutics,Double Blind,2022,2024,21,144,142,5,2,True,True,6.76,28.4,98.6,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0020,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2019,2021,30,84,82,5,1,True,True,2.73,16.4,97.6,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0021,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2018,2019,22,102,88,7,1,False,True,4.0,12.6,86.3,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0022,Phase 2,Melanoma,Clinical Research Group A,Single Blind,2022,2024,16,90,75,6,1,False,True,4.69,12.5,83.3,True,False,medium (50-150),short(<18mo),False,Near Target
TRIAL-0023,Phase 2,Lymphoma,Global BioResearch,Open Label,2021,2023,25,100,97,7,1,True,False,3.88,13.9,97.0,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0024,Phase 1,Lung Cancer,OncoPharm Therapeutics,Open Label,2018,2019,20,21,18,2,1,False,True,0.9,9.0,85.7,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0025,Phase 2,Lymphoma,Global BioResearch,Open Label,2018,2019,12,107,104,3,1,True,False,8.67,34.7,97.2,True,False,medium (50-150),short(<18mo),False,Met Target
TRIAL-0026,Phase 2,Breast Cancer,Clinical Research Group A,Double Blind,2018,2022,47,99,96,8,1,True,True,2.04,12.0,97.0,True,False,medium (50-150),long(36mo+),True,Met Target
TRIAL-0027,Phase 2,Lymphoma,OncoPharm Therapeutics,Open Label,2021,2024,37,94,89,2,1,True,False,2.41,44.5,94.7,True,False,medium (50-150),long(36mo+),False,Met Target
TRIAL-0028,Phase 2,Pancreatic Cancer,Global BioResearch,Open Label,2018,2020,20,122,114,3,1,True,True,5.7,38.0,93.4,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0029,Phase 3,Breast Cancer,OncoPharm Therapeutics,Double Blind,2022,2025,36,458,421,47,3,True,False,11.69,9.0,91.9,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0030,Phase 1,Colorectal Cancer,OncoPharm Therapeutics,Open Label,2019,2020,15,24,23,3,1,True,False,1.53,7.7,95.8,True,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0031,Phase 2,Breast Cancer,Helix Therapeutics,Open Label,2022,2024,20,53,52,7,1,True,True,2.6,7.4,98.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0032,Phase 3,Prostate Cancer,Apex Oncology Labs,Double Blind,2018,2021,44,554,451,34,2,False,False,10.25,13.3,81.4,True,True,very large (400+),long(36mo+),False,Near Target
TRIAL-0033,Phase 2,Lung Cancer,OncoPharm Therapeutics,Double Blind,2020,2021,15,124,112,6,1,True,True,7.47,18.7,90.3,True,False,medium (50-150),short(<18mo),True,Met Target
TRIAL-0034,Phase 1,Melanoma,Helix Therapeutics,Single Blind,2022,2023,21,31,29,3,1,True,False,1.38,9.7,93.5,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0035,Phase 2,Lung Cancer,Global BioResearch,Open Label,2023,2025,22,115,102,2,1,False,True,4.64,51.0,88.7,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0036,Phase 2,Leukemia,Global BioResearch,Double Blind,2021,2023,22,106,104,8,1,True,True,4.73,13.0,98.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0037,Phase 2,Melanoma,OncoPharm Therapeutics,Open Label,2020,2021,20,155,152,9,2,True,True,7.6,16.9,98.1,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0038,Phase 3,Breast Cancer,OncoPharm Therapeutics,Double Blind,2020,2023,38,478,427,24,2,False,True,11.24,17.8,89.3,True,True,very large (400+),long(36mo+),False,Near Target
TRIAL-0039,Phase 1,Melanoma,Apex Oncology Labs,Single Blind,2020,2021,13,38,37,1,1,True,True,2.85,37.0,97.4,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0040,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2019,2020,19,21,19,1,1,True,True,1.0,19.0,90.5,False,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0041,Phase 3,Leukemia,MedTrials International,Triple Blind,2023,2027,55,401,385,12,2,True,False,7.0,32.1,96.0,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0042,Phase 3,Prostate Cancer,Global BioResearch,Triple Blind,2019,2023,53,314,229,19,2,False,False,4.32,12.1,72.9,True,True,large (150-400),long(36mo+),False,Below Target
TRIAL-0043,Phase 2,Melanoma,MedTrials International,Open Label,2023,2026,31,93,78,8,1,False,False,2.52,9.8,83.9,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0044,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2020,2022,29,392,376,13,1,True,False,12.97,28.9,95.9,True,False,large (150-400),medium(18-36mo),False,Met Target
TRIAL-0045,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2022,2023,20,106,92,6,1,False,True,4.6,15.3,86.8,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0046,Phase 2,Prostate Cancer,Apex Oncology Labs,Single Blind,2022,2023,18,104,93,7,2,False,False,5.17,13.3,89.4,True,True,medium (50-150),medium(18-36mo),False,Near Target
