Year,Trial_Count,Avg_Duration_Months,Avg_Enrollment,Enrollment_Success_Rate,Endpoint_Success_Rate,Overall_Success_Rate
2018-01-02,1,16.0,127.0,0.0,100.0,0.0
2018-01-04,1,20.0,35.0,100.0,100.0,100.0
2018-01-07,3,25.3,68.3,100.0,100.0,100.0
2018-01-11,2,39.0,448.0,100.0,0.0,0.0
2018-01-14,1,21.0,24.0,0.0,100.0,0.0
2018-01-15,1,44.0,451.0,0.0,0.0,0.0
2018-01-16,1,14.0,24.0,100.0,0.0,0.0
2018-01-18,1,12.0,30.0,100.0,100.0,100.0
2018-01-19,2,50.5,354.0,50.0,50.0,0.0
2018-01-21,1,18.0,35.0,100.0,100.0,100.0
2018-01-23,3,35.3,75.3,100.0,100.0,100.0
2018-01-24,1,28.0,205.0,100.0,100.0,100.0
2018-01-25,1,59.0,247.0,0.0,100.0,0.0
2018-01-28,1,22.0,88.0,0.0,100.0,0.0
2018-02-02,1,20.0,219.0,100.0,0.0,0.0
2018-02-05,1,59.0,437.0,100.0,0.0,0.0
2018-02-07,1,15.0,101.0,100.0,0.0,0.0
2018-02-08,1,19.0,21.0,0.0,0.0,0.0
2018-02-16,1,20.0,29.0,0.0,100.0,0.0
2018-02-17,1,36.0,308.0,100.0,0.0,0.0
2018-02-21,1,31.0,56.0,100.0,0.0,0.0
2018-02-22,1,9.0,19.0,100.0,100.0,100.0
2018-02-25,1,28.0,118.0,100.0,0.0,0.0
2018-02-27,1,39.0,194.0,100.0,100.0,100.0
2018-03-02,1,35.0,75.0,100.0,0.0,0.0
2018-03-03,2,35.5,137.5,50.0,50.0,0.0
2018-03-05,1,44.0,148.0,100.0,100.0,100.0
2018-03-09,1,60.0,327.0,100.0,100.0,100.0
2018-03-11,1,19.0,99.0,100.0,100.0,100.0
2018-03-16,1,25.0,58.0,100.0,0.0,0.0
2018-03-19,1,22.0,33.0,100.0,100.0,100.0
2018-03-21,1,42.0,149.0,0.0,100.0,0.0
2018-03-22,1,16.0,12.0,0.0,100.0,0.0
2018-03-23,2,34.0,172.0,100.0,100.0,100.0
2018-03-24,1,25.0,145.0,100.0,100.0,100.0
2018-03-28,1,40.0,323.0,100.0,100.0,100.0
2018-04-06,1,47.0,96.0,100.0,100.0,100.0
2018-04-07,2,26.0,61.5,50.0,50.0,0.0
2018-04-12,1,16.0,18.0,0.0,100.0,0.0
2018-04-17,2,27.5,233.5,100.0,100.0,100.0
2018-04-19,2,31.5,128.5,100.0,50.0,50.0
2018-04-21,1,35.0,389.0,100.0,100.0,100.0
2018-04-24,1,27.0,124.0,100.0,0.0,0.0
2018-05-02,2,27.0,107.0,100.0,50.0,50.0
2018-05-04,2,38.5,200.5,0.0,50.0,0.0
2018-05-08,1,41.0,322.0,100.0,0.0,0.0
2018-05-11,1,29.0,92.0,100.0,100.0,100.0
2018-05-15,1,40.0,90.0,100.0,0.0,0.0
2018-05-16,1,14.0,74.0,0.0,100.0,0.0
2018-05-20,1,22.0,58.0,0.0,0.0,0.0
2018-05-22,1,16.0,27.0,100.0,0.0,0.0
2018-05-25,1,16.0,28.0,100.0,100.0,100.0
2018-06-01,1,25.0,28.0,100.0,100.0,100.0
2018-06-06,1,36.0,83.0,100.0,0.0,0.0
2018-06-07,1,38.0,438.0,100.0,100.0,100.0
2018-06-08,1,22.0,100.0,100.0,100.0,100.0
2018-06-10,1,6.0,112.0,100.0,0.0,0.0
2018-06-16,1,19.0,46.0,100.0,0.0,0.0
2018-06-20,1,22.0,16.0,0.0,0.0,0.0
2018-06-22,2,17.0,48.5,50.0,100.0,50.0
2018-06-23,1,22.0,14.0,0.0,100.0,0.0
2018-06-26,1,36.0,362.0,0.0,100.0,0.0
2018-07-05,1,34.0,403.0,100.0,100.0,100.0
2018-07-06,1,22.0,92.0,0.0,100.0,0.0
2018-07-07,1,68.0,452.0,100.0,0.0,0.0
2018-07-13,2,26.5,222.0,100.0,50.0,50.0
2018-07-14,1,27.0,109.0,0.0,100.0,0.0
2018-07-18,1,23.0,201.0,0.0,100.0,0.0
2018-07-19,1,23.0,36.0,100.0,100.0,100.0
2018-07-20,1,28.0,62.0,100.0,100.0,100.0
2018-07-21,1,23.0,27.0,0.0,100.0,0.0
2018-07-26,2,27.0,188.0,0.0,100.0,0.0
2018-08-02,1,34.0,433.0,100.0,0.0,0.0
2018-08-04,1,30.0,90.0,100.0,0.0,0.0
2018-08-05,2,26.0,179.0,100.0,50.0,50.0
2018-08-06,1,43.0,330.0,100.0,100.0,100.0
2018-08-08,1,35.0,48.0,100.0,0.0,0.0
2018-08-10,2,44.5,264.5,50.0,50.0,50.0
2018-08-11,1,45.0,73.0,0.0,100.0,0.0
2018-08-12,1,28.0,188.0,0.0,100.0,0.0
2018-08-13,1,50.0,514.0,100.0,100.0,100.0
2018-08-16,1,17.0,30.0,100.0,100.0,100.0
