trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met
TRIAL-0001,Phase 2,Breast Cancer,Clinical Research Group A,Open Label,2019-12-04,2022-05-22,30,114,100,3,1,False,False
TRIAL-0002,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2019-09-20,2023-02-01,41,557,481,16,1,False,True
TRIAL-0003,Phase 1,Lymphoma,Global BioResearch,Open Label,2018-03-23,2019-01-17,10,32,11,2,1,False,True
TRIAL-0004,Phase 2,Prostate Cancer,MedTrials International,Single Blind,2021-02-12,2023-09-30,32,72,50,2,1,False,False
TRIAL-0005,Phase 2,Breast Cancer,Clinical Research Group A,Single Blind,2021-02-18,2024-01-04,35,83,68,2,1,False,True
TRIAL-0006,Phase 2,Leukemia,Helix Therapeutics,Open Label,2018-11-08,2021-01-26,27,81,73,2,1,True,False
TRIAL-0007,Phase 4,Prostate Cancer,MedTrials International,Open Label,2020-03-12,2024-01-21,47,249,56,4,1,False,True
TRIAL-0008,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2019-08-13,2021-12-30,29,473,417,49,3,False,True
TRIAL-0009,Phase 4,Prostate Cancer,Clinical Research Group A,Single Blind,2018-06-13,2021-06-27,37,172,159,6,1,True,True
TRIAL-0010,Phase 1,Leukemia,Global BioResearch,Open Label,2023-08-05,2025-05-26,22,23,16,2,1,False,True
TRIAL-0011,Phase 1,Melanoma,Clinical Research Group A,Open Label,2021-06-08,2023-04-29,23,21,19,3,1,True,False
TRIAL-0012,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2019-11-06,2021-05-29,19,18,10,1,1,False,False
TRIAL-0013,Phase 2,Lung Cancer,NovaCure Biotech,Single Blind,2022-01-22,2024-07-10,30,110,47,5,1,False,False
TRIAL-0014,Phase 3,Melanoma,MedTrials International,Double Blind,2020-07-06,2025-06-10,60,138,129,2,1,True,True
TRIAL-0015,Phase 4,Melanoma,Helix Therapeutics,Double Blind,2020-11-17,2024-05-30,43,186,161,8,2,False,True
TRIAL-0016,Phase 1,Colorectal Cancer,Helix Therapeutics,Single Blind,2018-10-11,2020-08-31,23,21,12,3,1,False,True
